[2026-06-25 19:28:42] system info:
    hostname: i305
    platform: Linux-6.8.0-83-generic-x86_64-with-glibc2.35
    python: 3.10.12
    torch: 2.9.1+cu128
    world_size: 8
    cuda: 12.8
    cudnn: 91002
    gpu_name: NVIDIA B200
    gpus_visible: 8
    gpu_mem_gib: 178.35
    gpu_capability: 10.0
    gpu_sm_count: 148
    nvidia_driver: 580.82.07
    cpu_affinity: 64
    cpu_cores_logical: 768
    cpu_cores_physical: 384
    ram_total_gib: 3022.95
    ram_available_gib: 2940.91
[2026-06-25 19:28:42] GPU-hour budget: 192 GPU-h on 8 ranks => wall-clock cutoff 24.000h (clock starts after step 0; checked every step).
[2026-06-25 19:40:47] step 000057 | loss 4.353585 | lrm 1.0000 | dt_ms 7499.4
[2026-06-25 19:40:54] step 000058 | loss 4.319533 | lrm 1.0000 | dt_ms 7349.9
[2026-06-25 19:41:01] step 000059 | loss 3.889553 | lrm 1.0000 | dt_ms 7338.0
[2026-06-25 19:41:08] step 000060 | loss 3.860976 | lrm 1.0000 | dt_ms 7153.5
[2026-06-25 19:41:15] step 000061 | loss 3.636204 | lrm 1.0000 | dt_ms 7092.7
[2026-06-25 19:41:23] step 000062 | loss 3.560958 | lrm 1.0000 | dt_ms 7077.0
[2026-06-25 19:41:30] step 000063 | loss 4.209616 | lrm 1.0000 | dt_ms 7317.7
[2026-06-25 19:41:37] step 000064 | loss 3.998275 | lrm 1.0000 | dt_ms 7250.7
[2026-06-25 19:41:44] step 000065 | loss 3.839382 | lrm 1.0000 | dt_ms 7361.9
[2026-06-25 19:41:52] step 000066 | loss 3.678930 | lrm 1.0000 | dt_ms 7279.2
[2026-06-25 19:41:59] step 000067 | loss 3.851602 | lrm 1.0000 | dt_ms 7415.8
[2026-06-25 19:42:06] step 000068 | loss 4.108541 | lrm 1.0000 | dt_ms 7099.0
[2026-06-25 19:42:13] step 000069 | loss 3.704773 | lrm 1.0000 | dt_ms 7075.3
[2026-06-25 19:42:20] step 000070 | loss 4.661474 | lrm 1.0000 | dt_ms 7059.2
[2026-06-25 19:42:28] step 000071 | loss 3.784395 | lrm 1.0000 | dt_ms 7145.7
[2026-06-25 19:42:35] step 000072 | loss 3.099691 | lrm 1.0000 | dt_ms 7226.9
[2026-06-25 19:42:42] step 000073 | loss 3.967668 | lrm 1.0000 | dt_ms 7390.6
[2026-06-25 19:42:50] step 000074 | loss 3.966552 | lrm 1.0000 | dt_ms 7377.7
[2026-06-25 19:42:57] step 000075 | loss 2.887179 | lrm 1.0000 | dt_ms 7253.5
[2026-06-25 19:43:04] step 000076 | loss 3.568627 | lrm 1.0000 | dt_ms 7066.3
[2026-06-25 19:43:11] step 000077 | loss 3.253659 | lrm 1.0000 | dt_ms 7179.4
[2026-06-25 19:43:18] step 000078 | loss 4.104264 | lrm 1.0000 | dt_ms 7049.4
[2026-06-25 19:43:25] step 000079 | loss 4.378768 | lrm 1.0000 | dt_ms 7093.3
[2026-06-25 19:43:32] step 000080 | loss 3.960601 | lrm 1.0000 | dt_ms 7050.3
[2026-06-25 19:43:39] step 000081 | loss 4.068209 | lrm 1.0000 | dt_ms 7094.3
[2026-06-25 19:43:46] step 000082 | loss 4.129142 | lrm 1.0000 | dt_ms 7049.8
[2026-06-25 19:43:54] step 000083 | loss 3.256475 | lrm 1.0000 | dt_ms 7163.0
[2026-06-25 19:44:01] step 000084 | loss 3.722521 | lrm 1.0000 | dt_ms 7146.3
[2026-06-25 19:44:08] step 000085 | loss 3.154891 | lrm 1.0000 | dt_ms 7493.4
[2026-06-25 19:44:16] step 000086 | loss 4.418617 | lrm 1.0000 | dt_ms 7349.7
[2026-06-25 19:44:23] step 000087 | loss 3.529514 | lrm 1.0000 | dt_ms 7533.3
[2026-06-25 19:44:30] step 000088 | loss 4.534765 | lrm 1.0000 | dt_ms 7167.7
[2026-06-25 19:44:37] step 000089 | loss 3.451163 | lrm 1.0000 | dt_ms 7084.6
[2026-06-25 19:44:44] step 000090 | loss 3.443393 | lrm 1.0000 | dt_ms 7035.1
[2026-06-25 19:44:52] step 000091 | loss 3.351869 | lrm 1.0000 | dt_ms 7278.6
[2026-06-25 19:44:59] step 000092 | loss 3.695432 | lrm 1.0000 | dt_ms 7280.1
[2026-06-25 19:45:06] step 000093 | loss 3.626770 | lrm 1.0000 | dt_ms 7288.2
[2026-06-25 19:45:13] step 000094 | loss 4.052797 | lrm 1.0000 | dt_ms 7244.3
[2026-06-25 19:45:21] step 000095 | loss 3.905083 | lrm 1.0000 | dt_ms 7501.5
[2026-06-25 19:45:28] step 000096 | loss 3.983828 | lrm 1.0000 | dt_ms 7326.7
[2026-06-25 19:45:35] step 000097 | loss 3.658703 | lrm 1.0000 | dt_ms 7121.3
[2026-06-25 19:45:43] step 000098 | loss 3.489404 | lrm 1.0000 | dt_ms 7135.8
[2026-06-25 19:45:50] step 000099 | loss 2.954828 | lrm 1.0000 | dt_ms 7419.2
[2026-06-25 19:45:57] step 000100 | loss 4.630389 | lrm 1.0000 | dt_ms 7406.2
[2026-06-25 19:46:05] step 000101 | loss 3.805294 | lrm 1.0000 | dt_ms 7399.1
[2026-06-25 19:46:12] step 000102 | loss 3.511260 | lrm 1.0000 | dt_ms 7087.2
[2026-06-25 19:46:19] step 000103 | loss 1.765439 | lrm 1.0000 | dt_ms 7235.5
[2026-06-25 19:46:26] step 000104 | loss 3.814469 | lrm 1.0000 | dt_ms 7047.6
[2026-06-25 19:46:33] step 000105 | loss 3.819171 | lrm 1.0000 | dt_ms 7102.3
[2026-06-25 19:46:40] step 000106 | loss 4.486101 | lrm 1.0000 | dt_ms 7034.8
[2026-06-25 19:46:48] step 000107 | loss 3.615806 | lrm 1.0000 | dt_ms 7636.7
[2026-06-25 19:46:55] step 000108 | loss 2.570780 | lrm 1.0000 | dt_ms 7184.6
[2026-06-25 19:47:03] step 000109 | loss 3.760082 | lrm 1.0000 | dt_ms 7469.0
[2026-06-25 19:47:10] step 000110 | loss 4.157549 | lrm 1.0000 | dt_ms 7281.0
[2026-06-25 19:47:17] step 000111 | loss 3.439879 | lrm 1.0000 | dt_ms 7454.7
[2026-06-25 19:47:25] step 000112 | loss 3.327681 | lrm 1.0000 | dt_ms 7240.0
[2026-06-25 19:47:32] step 000113 | loss 2.494935 | lrm 1.0000 | dt_ms 7069.1
[2026-06-25 19:47:39] step 000114 | loss 2.917807 | lrm 1.0000 | dt_ms 7033.5
[2026-06-25 19:47:46] step 000115 | loss 2.953323 | lrm 1.0000 | dt_ms 7101.1
[2026-06-25 19:47:53] step 000116 | loss 3.093567 | lrm 1.0000 | dt_ms 7044.7
[2026-06-25 19:48:00] step 000117 | loss 3.686311 | lrm 1.0000 | dt_ms 7112.1
[2026-06-25 19:48:07] step 000118 | loss 2.731691 | lrm 1.0000 | dt_ms 7152.9
[2026-06-25 19:48:14] step 000119 | loss 2.529601 | lrm 1.0000 | dt_ms 7383.3
[2026-06-25 19:48:22] step 000120 | loss 3.477313 | lrm 1.0000 | dt_ms 7211.5
[2026-06-25 19:48:29] step 000121 | loss 2.597593 | lrm 1.0000 | dt_ms 7370.0
[2026-06-25 19:48:36] step 000122 | loss 2.576971 | lrm 1.0000 | dt_ms 7201.3
[2026-06-25 19:48:43] step 000123 | loss 3.042100 | lrm 1.0000 | dt_ms 7078.4
[2026-06-25 19:48:50] step 000124 | loss 3.482197 | lrm 1.0000 | dt_ms 7031.7
[2026-06-25 19:48:57] step 000125 | loss 3.228244 | lrm 1.0000 | dt_ms 7088.6
[2026-06-25 19:49:04] step 000126 | loss 3.300412 | lrm 1.0000 | dt_ms 7043.6
[2026-06-25 19:49:12] step 000127 | loss 2.506794 | lrm 1.0000 | dt_ms 7141.3
[2026-06-25 19:49:19] step 000128 | loss 2.513774 | lrm 1.0000 | dt_ms 7141.4
[2026-06-25 19:49:26] step 000129 | loss 3.064926 | lrm 1.0000 | dt_ms 7202.1
[2026-06-25 19:49:33] step 000130 | loss 3.286327 | lrm 1.0000 | dt_ms 7248.5
[2026-06-25 19:49:41] step 000131 | loss 3.253190 | lrm 1.0000 | dt_ms 7383.3
[2026-06-25 19:49:48] step 000132 | loss 2.832864 | lrm 1.0000 | dt_ms 7213.4
[2026-06-25 19:49:55] step 000133 | loss 2.573605 | lrm 1.0000 | dt_ms 7117.2
[2026-06-25 19:50:02] step 000134 | loss 2.839584 | lrm 1.0000 | dt_ms 7152.0
[2026-06-25 19:50:09] step 000135 | loss 3.986410 | lrm 1.0000 | dt_ms 7325.7
[2026-06-25 19:50:17] step 000136 | loss 2.945312 | lrm 1.0000 | dt_ms 7324.9
[2026-06-25 19:50:24] step 000137 | loss 2.773074 | lrm 1.0000 | dt_ms 7218.3
[2026-06-25 19:50:31] step 000138 | loss 2.992558 | lrm 1.0000 | dt_ms 7104.7
[2026-06-25 19:50:38] step 000139 | loss 2.871583 | lrm 1.0000 | dt_ms 7070.0
[2026-06-25 19:50:45] step 000140 | loss 2.838016 | lrm 1.0000 | dt_ms 7064.0
[2026-06-25 19:50:52] step 000141 | loss 3.648024 | lrm 1.0000 | dt_ms 7107.7
[2026-06-25 19:50:59] step 000142 | loss 2.605114 | lrm 1.0000 | dt_ms 7150.8
[2026-06-25 19:51:07] step 000143 | loss 3.207122 | lrm 1.0000 | dt_ms 7079.0
[2026-06-25 19:51:14] step 000144 | loss 2.426728 | lrm 1.0000 | dt_ms 7083.6
[2026-06-25 19:51:21] step 000145 | loss 3.467931 | lrm 1.0000 | dt_ms 7097.1
[2026-06-25 19:51:28] step 000146 | loss 2.501334 | lrm 1.0000 | dt_ms 7140.3
[2026-06-25 19:51:35] step 000147 | loss 2.507361 | lrm 1.0000 | dt_ms 7266.2
[2026-06-25 19:51:42] step 000148 | loss 2.409210 | lrm 1.0000 | dt_ms 7354.0
[2026-06-25 19:51:50] step 000149 | loss 2.731457 | lrm 1.0000 | dt_ms 7389.6
[2026-06-25 19:51:57] step 000150 | loss 2.517521 | lrm 1.0000 | dt_ms 7283.2
[2026-06-25 19:52:04] step 000151 | loss 4.625385 | lrm 1.0000 | dt_ms 7064.0
[2026-06-25 19:52:11] step 000152 | loss 2.491319 | lrm 1.0000 | dt_ms 7040.5
[2026-06-25 19:52:18] step 000153 | loss 2.746027 | lrm 1.0000 | dt_ms 7096.8
[2026-06-25 19:52:26] step 000154 | loss 2.636068 | lrm 1.0000 | dt_ms 7185.8
[2026-06-25 19:52:33] step 000155 | loss 1.028687 | lrm 1.0000 | dt_ms 7164.4
[2026-06-25 19:52:40] step 000156 | loss 3.295476 | lrm 1.0000 | dt_ms 7329.8
[2026-06-25 19:52:47] step 000157 | loss 2.272957 | lrm 1.0000 | dt_ms 7391.0
[2026-06-25 19:52:57] step 000158 | loss 2.403906 | lrm 1.0000 | dt_ms 9125.2
[2026-06-25 19:53:04] step 000159 | loss 2.484173 | lrm 1.0000 | dt_ms 7127.7
[2026-06-25 19:53:11] step 000160 | loss 2.481378 | lrm 1.0000 | dt_ms 7010.5
[2026-06-25 19:53:18] step 000161 | loss 2.578157 | lrm 1.0000 | dt_ms 7072.0
[2026-06-25 19:53:25] step 000162 | loss 2.248020 | lrm 1.0000 | dt_ms 7056.2
[2026-06-25 19:53:32] step 000163 | loss 2.795490 | lrm 1.0000 | dt_ms 7233.2
